grid_id,grid_lat,grid_lon,date,fire_count,avg_brightness,avg_frp,max_frp,baseline_mean,baseline_std,z_score,is_anomaly
37.75_40.0,37.75,40.0,2026-08-27,1,367.0,9.01,9.01,1.0,,,False
37.75_40.25,37.75,40.25,2026-08-26,3,306.68333333333334,0.6166666666666667,0.75,,,,False
37.75_40.25,37.75,40.25,2026-08-27,4,361.5075,18.91,28.75,3.0,,,False
37.75_40.25,37.75,40.25,2026-08-31,1,337.07,1.44,1.44,3.5,0.7071067811865476,-3.5355339059327373,True
37.75_40.5,37.75,40.5,2026-08-31,2,310.99,1.6949999999999998,1.74,,,,False
38.0_30.75,38.0,30.75,2026-08-26,3,306.43666666666667,1.12,2.16,,,,False
38.0_30.75,38.0,30.75,2026-08-29,2,296.76,1.09,1.22,3.0,,,False
38.0_30.75,38.0,30.75,2026-08-30,1,302.57,1.47,1.47,2.5,0.7071067811865476,-2.1213203435596424,False
38.0_30.75,38.0,30.75,2026-08-31,1,304.11,1.04,1.04,2.0,1.0,-1.0,False
38.0_37.0,38.0,37.0,2026-08-30,1,330.06,3.38,3.38,,,,False
38.0_39.75,38.0,39.75,2026-09-01,1,332.58,2.53,2.53,,,,False
38.0_40.0,38.0,40.0,2026-08-27,1,340.18,4.28,4.28,,,,False
38.0_40.0,38.0,40.0,2026-08-30,2,348.42,12.12,12.9,1.0,,,False
38.0_40.25,38.0,40.25,2026-08-31,2,345.455,9.14,10.37,,,,False
38.0_40.5,38.0,40.5,2026-08-26,2,307.80499999999995,0.85,0.96,,,,False
38.0_40.75,38.0,40.75,2026-08-31,1,342.04,3.2,3.2,,,,False
38.0_41.75,38.0,41.75,2026-08-29,2,347.225,6.41,6.41,,,,False
38.25_27.0,38.25,27.0,2026-08-26,1,318.49,2.38,2.38,,,,False
38.25_27.0,38.25,27.0,2026-08-27,1,339.35,1.54,1.54,1.0,,,False
38.25_27.0,38.25,27.0,2026-08-30,1,310.34,1.77,1.77,1.0,0.0,,False
38.25_27.0,38.25,27.0,2026-08-31,1,318.48,1.38,1.38,1.0,0.0,,False
38.25_29.25,38.25,29.25,2026-08-26,3,311.42,1.2,1.74,,,,False
